"date","hour","activity","workout","keywords","time","i0","i1","i2","i3","i4","i5","distance(km)","climb(m)","intensity","t-intensity","ahr","mhr","controls","spiked","rhr","sleep","weight(kg)","injured","sick","restday","shoes","route","description","private note"
"2021-03-10","10","Running","warm up/down","","00:16:02","","00:13:52","00:02:10","","","","3.063","18.5","1.14","","128","142","","","","","69.6","","","","Saucony Triumph 18","","",""
"2021-03-10","10","Running","intervals","","00:47:10","","00:01:49","00:10:08","00:15:44","00:19:21","00:00:08","11.932","47.7","3.12","","163","182","","","","","","","","","Saucony Endorphin Speed","","4 * 7mins [2mins] + 4 * 2mins [1min].

Threshy work on the Keswick railway. Rainy day and legs feeling pretty standard so just getting it put away. Onto the next :)",""
"2021-03-10","10","Running","","Strides","00:01:07","","","","","","00:01:07","0.399","","5.0","","129","153","","","","","","","","","Saucony Endorphin Speed","","4 * ~15s.",""
"2021-03-10","10","Running","warm up/down","","00:10:12","","00:00:13","00:07:41","00:02:18","","","1.714","13.3","2.2","","148","161","","","","","","","","","Saucony Triumph 18","","",""
"2021-03-10","18","Running","","","00:31:51","","00:31:51","","","","","6.006","103.8","1.0","","144","178","","","","","","","","","Saucony Triumph 18","","Pootle round the block. Think God's sent a plague of frogs to Sunderland, must have seen at least 20 of them crossing the road.",""
"2021-03-10","17","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","",""
"2021-03-11","11","Running","","","01:04:42","","","01:04:42","","","","11.106","786.4","2.0","","","","","","","","69.5","","","","NVII Terra tt","","Mooch about Sale fell and Ling fell. Pretty windy up top but I felt alright and the sun was shining for the majority so a good run.","Wrist HR."
"2021-03-11","17","Running","","","00:29:56","","00:29:56","","","","","6.007","95.6","1.0","","","","","","","","","","","","Saucony Triumph 18","","Pootle round da block.",""
"2021-03-12","10","Running","","","00:28:39","","","00:28:39","","","","6.019","97.3","2.0","","","","","","","","69.1","","","","Saucony Triumph 18","","Easy round the block. Nothing to report.",""
"2021-03-12","18","Running","","","00:32:24","","00:32:24","","","","","6.007","98.9","1.0","","","","","","","","","","","","Saucony Triumph 18","","Same but slower. Post core.",""
"2021-03-12","17","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","",""
"2021-03-13","11","Running","","","00:16:40","","00:16:40","","","","","3.186","77.1","1.0","","","","","","","","","","","","Saucony Triumph 18","","",""
"2021-03-13","11","Running","","","00:38:00","","","","","00:38:00","","7.467","434.0","4.0","","","","","","","","69.8","","","","NB Summit Unknown","","Hills - 12*1min + 6*30s.

Jog down recovery on all of them. Felt fine, just ticking them off. Got joined by a dog in last 1min rep which was not ideal for me, the dog, or the dogs owner, but hey ho was good entertainment. 30s were pretty grim but felt like good honest work. Onwards we go!",""
"2021-03-13","11","Running","","","00:10:43","","00:10:43","","","","","1.829","36.5","1.0","","","","","","","","","","","","Saucony Triumph 18","","Bumped into spendog and had a chat.",""
"2021-03-13","17","Running","","","00:31:09","","00:31:09","","","","","6.002","91.0","1.0","","","","","","","","","","","","Saucony Triumph 18","","Haven't been fully soaked for a wee while so this was refreshing. Felt decent.",""
"2021-03-14","10","Running","","","01:58:45","","","","01:58:45","","","24.562","892.5","3.0","","","","","","","","69.7","","","","Saucony Triumph 18","","Hiding in the woods of Whinlatter from the weather. With Dan, just rolling along nicely with good chat for the majority, so an enjoyable one. Managed to cultivate some horrendous DOMs  in ma bum from yesterday so they were sore throughout but we roll with the punches and move forward, as always. Good mornings work.",""
"2021-03-15","10","XT","","","00:52:52","","00:52:52","","","","","","","1.0","","","","","","","","69.7","","","","Giro Triple","","20.97 km (23.8 kph) +387m.

Spin round the valley of peace. (Sunderland -> Blindcrake -> Redmain -> Bridekirk -> Cockermouth -> Isel -> Sunderland)
""If you only do what you can do, you'll never be better than what you are"" - master shifu; kung fu panda 1, quite probably my favourite film.",""
"2021-03-15","18","Running","","","00:29:40","","00:29:40","","","","","5.958","91.2","1.0","","","","","","","","","","","","Saucony Triumph 18","","Bucket hat time, paying my respects to the father for his birthday.",""
"2021-03-15","18","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","Whilst in a tutorial; new level unlocked.",""
"2021-03-16","11","Running","","","01:00:00","","","01:00:00","","","","14.068","110.7","2.0","","","","","","","","69.7","","","","Saucony Triumph 18","","Visited the Lidl of mileage shops today and purchased 14 dirt cheap bones. Felt fine, and a lovely spring day as well so a good run all round.",""
"2021-03-16","18","Running","","","00:31:52","","00:31:52","","","","","6.017","92.6","1.0","","","","","","","","","","","","Saucony Triumph 18","","Pootle round the block. Proper red sky sunset which was v good v nice.",""
"2021-03-17","10","Running","warm up/down","","00:14:37","","00:14:37","","","","","2.893","19.2","1.0","","","","","","","","","","","","Saucony Triumph 18","","",""
"2021-03-17","10","Running","hills","","00:40:06","","","","","00:40:06","","7.36","593.0","4.0","","","","","","","","69.8","","","","NVII Terra tt","","3 * Sale Fell. Taken at a decent pace, nothing crazy, probably around threshy. Had planned 4 but the legs didn't want another, so stuck with 3 quite happily. 8.33, 31, 37 for each climb and a jog down in between. Noice.
(Last did this session in <a href=""https://www.attackpoint.org/viewlog.jsp/user_14463/period-1/enddate-2016-11-05"">2016</a>)",""
"2021-03-17","10","Running","warm up/down","","00:08:03","","00:08:03","","","","","1.634","","1.0","","","","","","","","","","","","NVII Terra tt","","",""
"2021-03-17","18","Running","","","00:34:59","","00:34:59","","","","","6.722","87.8","1.0","","","","","","","","","","","","Saucony Triumph 18","","Jog, you guessed it, round the block on the roads.",""
"2021-03-17","17","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","",""
"2021-03-18","10","Orienteering","","","01:00:04","","","01:00:04","","","","8.596","454.4","2.0","2","","","28","","","","69.3","","","","VJ iRock 3","","O-tek up on High Doat. Weather was quality, some big summer vibes. Technique was okay, but still some work to do before the hotly contested WCOC Thursday evening series starts in a few weeks, canny wait! Haha.",""
"2021-03-18","17","Running","","","00:30:19","","00:30:19","","","","","6.012","80.2","1.0","","","","","","","","","","","","Saucony Triumph 18","","East money. ",""
"2021-03-19","10","Running","","","01:00:11","","","01:00:11","","","","12.258","282.4","2.0","","","","","","","","69.4","","","","Saucony Triumph 18","","Run round the Whythop woods. Lovely big gravel tracks the whole way, legs feeling bang average, and decent weather. Will take that combo any-day :)",""
"2021-03-19","17","Running","","","00:29:43","","00:29:43","","","","","5.928","10.4","1.0","","","","","","","","","","","","Saucony Triumph 18","","Jog round some grassy places in Cockermouth, before picking up fish and chips for tea, yum yum.",""
"2021-03-19","16","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","",""
"2021-03-20","10","Running","warm up/down","","00:19:27","","00:19:27","","","","","3.837","23.4","1.0","","","","","","","","69.1","","","","Saucony Triumph 18","","",""
"2021-03-20","10","Running","","","00:38:52","","","","","00:38:52","","7.994","5.4","4.0","","","","","","","","","","","","Saucony Endorphin Speed","","20 * 300m starting every 2mins.

Down at the Maryport Harbour which actually turned out to be a very good place for this session coz the road had a big cycle lane/ parking section on the side so despite there being a few cars about I could stay off the pavement away from walkers (eww walking) and also not get run over. Measured the 300m twice on the WU and it ended up being between two speed bumps so I just ran that each time. Even reps (coming back) had a headwind but for the coast it was fine. Legs felt fine although moving that fast didn't feel great, just not used to it at all. Overall a successful session.",""
"2021-03-20","10","Running","warm up/down","","00:11:48","","00:11:48","","","","","2.113","0.0","1.0","","","","","","","","","","","","Saucony Triumph 18","","",""
"2021-03-20","18","Running","","","00:32:23","","00:32:23","","","","","6.012","82.7","1.0","","","","","","","","","","","","Saucony Triumph 18","","",""
"2021-03-21","10","Running","","","00:38:12","","","00:38:12","","","","5.887","324.7","2.0","","","","","","","","","","","","NVII Terra tt","","To le start.",""
"2021-03-21","10","Running","","","00:35:33","","","00:35:33","","","","5.815","169.7","2.0","","","","","","","","","","","","NVII Terra tt","","Back.",""
"2021-03-21","10","Orienteering","","","00:46:47","","","","00:46:47","","","7.11","271.1","3.0","","","","","","","","69.4","","","","NVII Terra tt","","Some good marsh munching with Dan on Armboth fell. After a bit of an overshoot early on (which was very much my fault) but after this we got much better, and was interesting to see the different micro lines being run. I enjoyed it very muchos, want more training like this, ideally with this weather as well :)",""
"2021-03-22","10","XT","","","01:01:06","","01:01:06","","","","","","","1.0","","","","","","","","70.4","","","","Giro Triple","","25.14 km (24.7 kph) +408m.

Spin down to Cockermouth, then to Embleton and Bass lake and then back via Isel Bridge. Bit chilly out today but dry and not much wind so pretty nice cycling conditions. Enjoyed it, legs feeling a bit tired tho.",""
"2021-03-22","17","Running","","","00:31:32","","00:31:32","","","","","5.603","89.4","1.0","","","","","","","","","","","","Saucony Triumph 18","","",""
"2021-03-23","11","Running","","","01:00:01","","","01:00:01","","","","13.425","27.5","2.0","","","","","","","","70","","","","Saucony Triumph 18","","Bass track miles. An accidental progression of sorts, feeling fine.",""
"2021-03-23","18","Running","","","00:30:23","","00:30:23","","","","","6.013","105.4","1.0","","","","","","","","","","","","Saucony Triumph 18","","Jog.",""
"2021-03-24","9","Running","warm up/down","","00:16:09","","00:16:09","","","","","3.244","40.5","1.0","","","","","","","","69.1","","","","Saucony Endorphin Speed","","",""
"2021-03-24","9","Running","tempo","","00:49:21","","","","","00:49:21","","13.908","9.1","4.0","","","","","","","","","","","","Saucony Endorphin Speed","","4*8mins[2mins] + 2*4mins[1min] the EUOC session ran like a pollard float session, confusing stuff.

Ran on the Thirlmere Road which is a class place to session like this, flat, basically no cars (I think 1 came past me), no people about and nice views, so yea I had a good time out there. Bit of a headwind at points, seemingly in random directions but it didn't affect the running much. Felt pretty fine, paces decent, good one done :)",""
"2021-03-24","9","Running","","","00:01:03","","","","","","00:01:03","0.386","4.0","5.0","","","","","","","","","","","","Saucony Endorphin Speed","","4*15s.",""
"2021-03-24","9","Running","warm up/down","","00:06:24","","00:06:24","","","","","1.193","","1.0","","","","","","","","","","","","Saucony Endorphin Speed","","",""
"2021-03-24","17","Running","","","00:32:17","","00:32:17","","","","","6.018","87.4","1.0","","","","","","","","","","","","Saucony Triumph 18","","Not pleasant weather tbh. Snuck into a field for some lovely soft ground.",""
"2021-03-24","17","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","",""
"2021-03-25","11","Orienteering","","","01:00:10","","","01:00:10","","","","7.599","425.7","2.0","","","","","","","","69","","","","VJ iRock 3","","Skog munch at Lodore. Pretty wet and pretty slippy but pretty enjoyable as well. Tekkers g.",""
"2021-03-25","17","Running","","","00:30:01","","00:30:01","","","","","6.064","96.1","1.0","","","","","","","","","","","","Saucony Triumph 18","","Jog, windy windy out there.",""
"2021-03-26","17","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","",""
"2021-03-26","11","Running","","","01:00:28","","","01:00:28","","","","12.603","367.3","2.0","","","","","","","","","","","","Saucony Triumph 18","","Legs feeling actually decent today which was nice, so had a good roll around whinlatter :)",""
"2021-03-26","17","Running","","","00:30:01","","00:30:01","","","","","6.107","106.3","1.0","","","","","","","","","","","","Saucony Triumph 18","","Pootle round da block. Legs once again feeling g, so this wasn't the usual 5.20s :)",""
"2021-03-27","10","Running","warm up/down","","00:17:02","","00:17:02","","","","","3.276","6.6","1.0","","","","","","","","","","","","Saucony Triumph 18","","",""
"2021-03-27","10","Running","warm up/down","","00:06:10","","00:06:10","","","","","1.084","3.5","1.0","","","","","","","","","","","","Saucony Triumph 18","","",""
"2021-03-27","10","Running","intervals","","00:52:33","","","","","00:52:33","","10.591","362.6","4.0","","","","","","","","","","","","NB Summit Unknown","","2km T, (4*60s + 4*45s + 4*30s + 4*15s) hills, 2km T.

Tempo on the Bass trail, so not the fastest place (party due to dodgy af GPS on it) and also it's single track which caused some issue with passing other people. Hills where I did them 2weeks ago, on a big forest track. Overall I actually felt rather good and the hills especially went well :) Next week should be able to run with other people for the sessions :0",""
"2021-03-27","17","Running","","","00:32:42","","00:32:42","","","","","6.01","100.2","1.0","","","","","","","","","","","","Saucony Triumph 18","","Another training day wrapped up with a jog round the block.",""
"2021-03-28","11","Running","","","01:59:34","","","01:59:34","","","","20.851","843.5","2.0","","","","","","","","","","","","NVII Terra tt","","Fug me that was grim. Legs felt like a bag of potato's and calfs nice and tight throughout. Big slog up through a marsh onto Lords Seat, then got bent backwards by some nice horizontal rain for about 10mins, before I'd had enough and bailed off the hill. The sections in the woods were enjoyable but was a big mistake to go up high today, ah well, got it done and another week ticked.",""
"2021-03-29","10","Running","","","00:29:37","","00:29:37","","","","","6.014","111.9","1.0","","","","","","","","","","","","Saucony Triumph 18","","Jog round the block. Too wet and windy for cycling today so will leave it at this.",""
"2021-03-29","17","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","",""
"2021-03-30","10","Running","","","01:00:30","","","01:00:30","","","","13.844","148.1","2.0","","","","","","","","","","","","Saucony Triumph 18","","Grassy miles in Cockermouth.",""
"2021-03-30","17","Running","","","00:29:29","","00:29:29","","","","","6.034","80.6","1.0","","","","","","","","","","","","Saucony Triumph 18","","Glorious sunshine for a jog round the block. On a more serious note I still haven't had a poop today, concerning stuff.",""
"2021-03-31","10","Running","","","00:24:07","","","00:24:07","","","","4.366","122.6","2.0","","","","","","","","","","","","NVII Terra tt","","",""
"2021-03-31","10","Running","tempo","","00:35:00","","","","","00:35:00","","3.412","810.7","4.0","","","","","","","","","","","","NVII Terra tt","","Uphill tempo on Skiddaw avec Spendog.
Had a bit of a false start when ~30s in I realised the path we were on wasn't where I thought we where, but we decided to plough on anyways. Said path turned into not much of a path very quickly but we'd committed and it was going in an upwards direction which is all that mattered. It lead back to the main track after ~10mins and after that it was just a big ol grind on up the hill. Effort was at a good level, so quite spangled by the top, had a sit down for a wee while. Good work banked.",""
"2021-03-31","10","Running","","","00:30:05","","00:30:05","","","","","4.95","66.7","1.0","","","","","","","","","","","","NVII Terra tt","","",""
"2021-03-31","17","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","No double today, hit the 90mins this morning so no need. Standard s&c jobbo.",""
"2021-04-01","10","Running","","","00:29:03","","00:29:03","","","","","6.123","88.4","1.0","","","","","","","","68.9","","","","Saucony Triumph 18","","Jog round the block. Leggies actually feeling good despite yesterday. Sunny but quite a cold wind. WCOC event this afternoon :)))",""
"2021-04-01","17","Running","","","00:34:19","","","00:34:19","","","","6.995","165.6","2.0","","","","","","","","","","","","Saucony Triumph 18","","",""
"2021-04-01","17","Orienteering","","","00:21:14","","","00:21:14","","","","4.112","115.3","2.0","2","","","23","","","","","","","","NVII Terra tt","","WCOC event @ Crag Hills - <a href=""https://live.staticflickr.com/65535/51088878713_123d42482f_b.jpg"">Map</a>

Some nice lumpy bumpy limestone fields, not tricky but still fun. Have missed that sweet SI air noise and finding the little orange and white things, so was enjoying myself muchos. Lovely evening as well :)",""
"2021-04-01","17","Running","","","00:08:34","","00:08:34","","","","","1.659","14.2","1.0","","","","","","","","","","","","NVII Terra tt","","",""
"2021-04-02","10","Running","","","01:01:16","","","01:01:16","","","","13.313","134.3","2.0","","","","","","","","","","","","Saucony Triumph 18","","Legs had no right to feel good this morning, but here we are with a lovely run round Derwent water in the sunshine and spudingtons which felt very nice. Feel like I haven't hit a proper plod in a while, will make sure to get one in this afternoon.",""
"2021-04-02","17","Running","","","00:31:25","","00:31:25","","","","","6.014","86.6","1.0","","","","","","","","","","","","Saucony Triumph 18","","Nice lil pootle round the block. Sunny business :)",""
"2021-04-02","17","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","",""
"2021-04-03","10","Running","warm up/down","","00:15:12","","00:15:12","","","","","3.046","42.3","1.0","","","","","","","","","","","","Saucony Triumph 18","","",""
"2021-04-03","10","Running","intervals","","00:39:15","","","","","00:39:15","","8.578","","4.0","","","","","","","","","","","","Saucony Endorphin Speed","","10*400m[1min], 4mins rest, 10*200m[1min].

Nice one down at the Whitehaven track, just 3 other people using the track so nice and quiet and two of the other guys are long distance runners so should be able to jump in with their sessions for the next few weeks hopefully. Times were

70, 69, 68, 69, 69, 68, 68, 68, 68, 66,
31, 30, 30, 30, 31, 30, 31, 30, 31, 29.

Legs feeling the short rest quite badly on the last few 200s, abso swimming down the home straight on the last one haha. Should defo get some spikey bois coz was all over the place in these shoes, especially noticeable on the bends of the 200s. Good session done.",""
"2021-04-03","10","Running","warm up/down","","00:10:16","","00:10:16","","","","","1.793","19.7","1.0","","","","","","","","","","","","Saucony Triumph 18","","",""
"2021-04-03","17","Running","","","00:32:23","","00:32:23","","","","","6.008","86.8","1.0","","","","","","","","","","","","Saucony Triumph 18","","Plod on.",""
"2021-04-04","10","Running","","","00:12:15","","00:12:15","","","","","1.934","69.5","1.0","","","","","","","","","","","","NVII Terra tt","","",""
"2021-04-04","10","Orienteering","","","01:46:03","","","","01:46:03","","","16.74","754.6","3.0","3","","","31","","","","","","","","NVII Terra tt","","BOC Long 2012 re-run - <a href=""https://live.staticflickr.com/65535/51094410516_fa67413bc0_k.jpg"">Map</a> (soz bout the quality)

Found all the old maps at home (mum organised) so jumped at the chance for some 1:15000 properly printed training. With Dan, moving at an okay pace and nav was sound for the vast majority. Enjoyed myself muchos.",""
"2021-04-04","10","Running","","","00:15:12","","00:15:12","","","","","2.696","41.1","1.0","","","","","","","","","","","","NVII Terra tt","","",""
"2021-04-05","17","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","1","","","Need to actually do something on a rest day coz despite all the extra time I've done pretty much fug all.",""
"2021-04-06","10","Running","","","00:22:08","","00:22:08","","","","","4.321","64.5","1.0","","","","","","","","","","","","NVII Terra tt","","",""
"2021-04-06","10","Orienteering","","","00:37:11","","","00:37:11","","","","4.731","320.2","2.0","2","","","27","","","","","","","","NVII Terra tt","","O-tek at Jaws - <a href=""https://live.staticflickr.com/65535/51098671377_eaf9c72013_h.jpg"">Map</a>
Quite a rocky area, but I was moving okay. Technique grand.",""
"2021-04-06","10","Running","","","00:01:37","","00:01:37","","","","","0.309","","1.0","","","","","","","","","","","","NVII Terra tt","","",""
"2021-04-06","17","Running","","","00:30:01","","00:30:01","","","","","6.06","88.9","1.0","","","","","","","","","","","","Saucony Triumph 18","","",""
"2021-04-07","11","Running","warm up/down","","00:03:30","","00:03:30","","","","","0.566","","1.0","","","","","","","","","","","","Saucony Triumph 18","","Shuffle back to car.",""
"2021-04-07","11","Running","warm up/down","","00:16:48","","00:16:48","","","","","3.275","13.3","1.0","","","","","","","","","","","","Saucony Triumph 18","","",""
"2021-04-07","11","Running","intervals","","00:22:19","","","","","","00:22:19","5.434","","5.0","","","","","","","","","","","","Nike Zoom Rival XC","","Bailed session. Mainly coz I crunched my ankle on the second rep, but also head and legs weren't in it today :( Can't believe I managed to do the ankle on a track, albeit a pretty rough dirt track (which is very much not 400m). Pretty frustrated with myself, need to get the head in the game.",""
"2021-04-07","19","Running","","","00:51:26","","","00:51:26","","","","10.576","159.9","2.0","","","","","","","","","","","","Saucony Triumph 18","","Jog, ankle good, will just be a bit sore for ~1week I estimate.",""
"2021-04-07","19","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","",""
"2021-04-08","10","Running","","","01:01:11","","","01:01:11","","","","12.409","308.5","2.0","","","","","","","","","","","","Saucony Triumph 18","","Easy round the Wythop woods. On the big tracks for the ankle, which was more stiff than I'd anticipated this morning but pretty fine to run on.",""
"2021-04-08","17","Orienteering","","","00:29:55","","00:29:55","","","","","6.203","44.3","1.0","1","","","18","","","","","","","","Saucony Peregrine 10 ST","","Little jog round the WCOC event at Allonby. Ankle surprisingly really g.",""
"2021-04-09","10","Running","","","01:00:03","","","01:00:03","","","","13.381","97.6","2.0","","","","","","","","","","","","Saucony Triumph 18","","Easy on roads. Legs feeling good and no pain from the ankle (which would expect on roads). It was a bit stiff this morning but nicely loosened off by the end of the run, good signs indeed.",""
"2021-04-09","17","Running","","","00:30:01","","00:30:01","","","","","6.166","87.6","1.0","","","","","","","","","","","","Saucony Triumph 18","","The block.",""
"2021-04-09","17","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","",""
"2021-04-10","10","Running","warm up/down","","00:15:57","","00:15:57","","","","","2.397","77.9","1.0","","","","","","","","","","","","VJ iRock 3","","",""
"2021-04-10","10","Orienteering","intervals","","01:06:51","","","","","01:06:51","","10.062","569.2","4.0","","","","","","","","","","","","VJ iRock 3","","3 * ~3km courses @ Blakeholme.

Mass start with Dan for the first two. One big wobble on the first one, and another on the last one. Apart from that good nav. Speed through the terrain was decent, ankle a bit sore on the first one so wasn't pushing through the rough sections well, second course went much better because the ankle felt fine and nav good and ran very hard. Third one legs a bit tired but still a good effort. Messed up the 2nd control on this loop so stopped and had a restart, much better after that, and good speed. Lots to work on but a good start to fast O season!
Forest in quality condtions, so lush.",""
"2021-04-10","13","Orienteering","","","00:30:50","","00:30:50","","","","","3.358","178.6","1.0","","","","","","","","","","","","VJ iRock 3","","Shadowing NWJS juniors.",""
"2021-04-11","10","Running","","","00:29:20","","00:29:20","","","","","5.289","93.6","1.0","","","","","","","","","","","","Saucony Triumph 18","","",""
"2021-04-11","10","Orienteering","","","00:44:41","","","","","00:44:41","","8.87","256.7","4.0","3","","","25","","","","","","","","VJ iRock 3","","SYO event @ Tankersley - <a href=""http://obasen.orientering.se/winsplits/online/en/default.asp?page=table&databaseId=73816&categoryId=0"">Results</a>

Big old day on the driving front, but all worth it to find some flags. Went pretty hard and the nav was okay. About mid way round I took a hefty tumble which knocked the wind outta me, and I wasn't running as fast after that. However I was catching an SYO man (which I later found out to be Oli Johnson, lol, the long hair threw me) but he was moving very well so the pace ramped back up to get the catch. Had to deploy some cheeky corner cuts to pass him but after that I orienteered very well in full spud speed mode till the finish. Great fun tbh, lots of paths but I actually find these sorta areas harder than deep skog, so pleased to keep it clean. More pls.",""
"2021-04-11","10","Running","","","00:47:03","","00:47:03","","","","","8.576","134.3","1.0","","","","","","","","","","","","Saucony Triumph 18","","Bonked so hard.",""
"2021-04-12","11","XT","","","00:58:54","","00:58:54","","","","","","","1.0","","","","","","","","","","","","Giro Triple","","24.06 km (24.5 kph) +488m.

Lovely spin in the sunshine. Forgot to say yesterday but ankle pretty much back to normal now, was just a good reminder to keep doing the exercises and to warm them up properly before training.",""
"2021-04-12","18","Running","","","00:30:01","","00:30:01","","","","","6.037","83.8","1.0","","","","","","","","","","","","Saucony Triumph 18","","Jiggle round the block.",""
"2021-04-12","18","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","",""
"2021-04-13","11","Running","","","01:00:09","","00:30:09","00:30:00","","","","11.175","363.5","1.5","","","","","","","","","","","","Saucony Triumph 18","","Jog at Whinlatter. Felt like shite this morning.",""
"2021-04-13","17","Running","","","00:30:19","","00:30:19","","","","","6.012","87.1","1.0","","","","","","","","","","","","Saucony Triumph 18","","Jog round the block, still feeling a bit ropey.",""
"2021-04-14","9","Running","warm up/down","","00:16:49","","00:16:49","","","","","3.421","5.9","1.0","","","","","","","","","","","","Saucony Triumph 18","","",""
"2021-04-14","9","Running","","","00:38:20","","00:17:20","","","","00:21:00","8.796","25.9","3.19","","","","","","","","","","","","Saucony Endorphin Speed","","EUOC seshwan - 6*3mins[2mins] + 6*30s[1min].

Paces: 3.12, 04, 02, 02, 01, 2.59s.

Solo jobbo today, down on Low Road in Cockermouth. Felt fine, took the first rep to get into it as per then hitting some decent paces for me. Pretty happy to sneak the sub 3s on the last rep, think that's a first sub3 km in a session for myself :) ",""
"2021-04-14","9","Running","warm up/down","","00:09:38","","00:09:38","","","","","1.708","7.2","1.0","","","","","","","","","","","","Saucony Endorphin Speed","","",""
"2021-04-14","16","Running","warm up/down","","00:12:45","","00:12:45","","","","","2.269","52.5","1.0","","","","","","","","","","","","VJ iRock 3","","",""
"2021-04-14","16","Orienteering","","","00:22:53","","","","","00:22:53","","3.406","191.7","4.0","3","","","15","","","","","","","","VJ iRock 3","","LOC Middle race @ Bell Wood - <a href=""https://live.staticflickr.com/65535/51115975618_4a53316b7a_k.jpg"">Map</a> / <a href=""http://obasen.orientering.se/winsplits/online/en/default.asp?page=table&databaseId=73858&categoryId=2"">Results</a>

*just the run-in away from a superman, grr haha

Legs felt fine tbh, lacking somewhat in the uphills but not too bad. Area was proper rocky anyways so running speed was more limited by that than the legs. Nav was good.
Highlight of the evening was garotting my shin on a one wire waist high fence. I saw it too late, tried to jump it but the shin didn't make it, hence a rather comical head over heels job. Do need to watch out for fences in the future!",""
"2021-04-14","16","Running","warm up/down","","00:06:29","","00:06:29","","","","","1.088","26.2","1.0","","","","","","","","","","","","VJ iRock 3","","",""
"2021-04-15","7","Running","","","00:31:53","","00:31:53","","","","","6.024","89.6","1.0","","","","","","","","","","","","Saucony Triumph 18","","Plod round the block pre brekky. Nice morning but got not much time for the pre brekky grind.",""
"2021-04-15","17","Running","","","00:35:57","","","00:35:57","","","","5.871","316.2","2.0","","","","","","","","","","","","NVII Terra tt","","Up Burnbanks beforehand.",""
"2021-04-15","17","Orienteering","","","00:33:48","","","00:33:48","","","","5.442","222.1","2.0","1","","","12","","","","","","","","NVII Terra tt","","WCOC event @ Fangs Brow.

What a classic area, some good old fields then some open fell. Enjoyed my run around with Sunley following pretty much the whole way ;)",""
"2021-04-16","10","Running","","","01:00:01","","","01:00:01","","","","13.763","72.5","2.0","","","","","","","","","","","","Saucony Triumph 18","","Bass trail + some road. Leggies felt fine so some smooth rolling.",""
"2021-04-16","18","Running","","","00:30:40","","00:30:40","","","","","6.012","82.1","1.0","","","","","","","","","","","","Saucony Triumph 18","","Round the block to end another dag.",""
"2021-04-16","18","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","",""
"2021-04-17","9","Running","","","00:16:04","","00:16:04","","","","","2.799","98.3","1.0","","","","","","","","","","","","VJ iRock 3","","",""
"2021-04-17","9","Orienteering","intervals","","00:45:59","","","","","00:45:59","","5.679","389.9","4.0","","","","","","","","","","","","VJ iRock 3","","3 courses at Graythwaite, hijacking the Talent squad training (cheers RichT). Nav okay but made two small mistakes in the green, all good learning. Tough stuff as per.",""
"2021-04-17","9","Running","","","00:03:00","","00:03:00","","","","","0.301","10.1","1.0","","","","","","","","","","","","VJ iRock 3","","",""
"2021-04-17","12","Orienteering","","","00:29:23","","00:29:23","","","","","2.601","160.2","1.0","","","","","","","","","","","","VJ iRock 3","","Shadowing until the ankle got a wee tweak, called it a day then.",""
"2021-04-18","11","Running","","","01:54:46","","","","01:54:46","","","17.585","1190.5","3.0","","","","","","","","","","","","Saucony Peregrine 10 ST","","Newland fells. Felt actually pretty g so was having a grand old time. ""You look so light coming up here"" was a comment made by a walker, quite potentially the only time I'll every be described as light so I'll take it haha.",""
"2021-04-19","11","XT","","","01:16:54","","01:16:54","","","","","","","1.0","","","","","","","","","","","","Giro Triple","","Spin out to Aughertree and back. Hillier than I expected but all good fun, and another nice day made it very enjoyable indeed.",""
"2021-04-19","17","Running","","","00:31:24","","00:31:24","","","","","6.024","84.1","1.0","","","","","","","","","","","","Saucony Triumph 18","","Round the block. Tired quads probably from fells yesterday and cycle this morning, so went slow.",""
"2021-04-19","17","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","",""
"2021-04-20","10","Running","","","01:02:38","","","01:02:38","","","","12.659","340.3","2.0","","","","","","","","","","","","Saucony Triumph 18","","Setmurthy. The forestry wombles have blocked off all the main paths, and someone else has blocked off stiles out of the woods, so all in all I wasn't very impressed. However it was a nice warm day and the Hay still provided the goods, so can't be too upset.",""
