"date","hour","activity","workout","keywords","time","i0","i1","i2","i3","i4","i5","distance(km)","climb(m)","intensity","t-intensity","ahr","mhr","controls","spiked","rhr","sleep","weight(kg)","injured","sick","restday","shoes","route","description","private note"
"2021-01-13","11","Running","","","01:15:46","","00:27:50","00:47:23","00:00:33","","","14.477","378.3","1.64","","138","157","","","","","","","","","Saucony Peregrine 10 ST","","Easy Murthy, was meant to be 70' but I'd underestimated the muddiness of the forest. Anyways really good fun, if a little wet.",""
"2021-01-13","17","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","After a sweet nap.",""
"2021-01-14","15","Running","","","01:29:24","","00:04:50","00:26:57","00:49:31","00:08:06","","20.081","421.0","2.68","","156","175","","","","","","","","","Saucony Guide 13 TR #2","","STEADY with Dan. I do enjoy these runs where you can just roll along, definitely much easier to do with spender rather than solo. Good chat, and only one poo break, which actually I had nothing to do with (!!). A very enjoyable outing.
Have got a lactate measurer, which read 11.3 post run, which I am very much not convinced about, so I probably need to set it up correctly.",""
"2021-01-15","9","Running","","","00:39:39","","00:14:32","00:25:07","","","","8.192","102.2","1.63","","136","151","","","","","","","","","Saucony Guide 13 TR #2","","Late getting up today coz I watched Gladiator last night, good film. Anyways a nice easy run round the block, quite icy out but deceptively icy as I found out when I tried to turn around and decked it quite hard. Knees grazed, but we'll survive. Beaut morning tho and felt alright :)",""
"2021-01-15","16","Running","","","00:32:27","","00:27:41","00:04:46","","","","6.026","90.4","1.15","","128","144","","","","","","","","","Saucony Guide 13 TR #2","","Round the block recovery. Snuck it in before it got dark.",""
"2021-01-15","17","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","",""
"2021-01-16","10","Running","warm up/down","","00:16:42","","00:09:40","00:07:02","","","","3.095","105.0","1.42","","133","149","","","","","","","","","Saucony Guide 13 TR #2","","",""
"2021-01-16","10","Running","hills","","00:26:20","","00:05:39","00:09:15","00:05:14","00:05:55","00:00:17","4.337","261.9","2.47","","151","181","","","","","","","","","NB Summit Unknown","","Power Hills with Dan. 6*60s + 4*30s.

Full of lactic, pretty grim stuff. Glad of the company.",""
"2021-01-16","10","Running","warm up/down","","00:16:57","","00:04:13","00:12:01","00:00:43","","","3.242","42.2","1.79","","139","156","","","","","","","","","Saucony Guide 13 TR #2","","",""
"2021-01-16","17","Orienteering","","","00:48:09","","00:33:13","00:14:40","00:00:16","","","7.18","234.7","1.32","","131","157","","","","","","","","","Saucony Peregrine 10 ST","","PASTA PLS",""
"2021-01-17","10","Running","","","01:58:52","","00:33:05","00:59:38","00:26:09","","","16.526","1321.2","1.94","","142","166","","","","","","","","","VJ iRock 3","","Mountains with spendog. Up Ullock ridge, then up Skidaw, down to Skidaw Littleman, then cut back to Carlside and down to Dodd and back through the woods. A two poop, two pee run today. Very cold and icy at the top, nice Arctic conditions and took a very suspect line at one point which required a bearing and some faith, nearly slid a long long way down a couple frozen snow patches but we made it out alive. Great fun, would repeat.",""
"2021-01-18","10","Running","","","00:40:01","","00:27:43","00:12:18","","","","8.263","123.7","1.31","","130","147","","","","","","","","","Saucony Guide 13 TR #2","","Easy roads. HR pretty low for some reason.",""
"2021-01-18","18","Running","","","00:32:36","","00:26:03","00:06:33","","","","6.006","96.9","1.2","","129","147","","","","","","","","","Saucony Guide 13 TR #2","","Recovery roads.",""
"2021-01-18","18","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","EUOC core.",""
"2021-01-19","9","Running","warm up/down","","00:19:03","","00:07:24","00:10:57","00:00:42","","","3.625","70.1","1.65","","136","158","","","","","","","","","Saucony Guide 13 TR #2","","",""
"2021-01-19","9","Running","intervals","","00:49:34","","00:01:15","00:04:42","00:11:57","00:31:33","00:00:07","11.157","183.7","3.5","","168","180","","","","","","","","","VJ iRock 3","","Terrain ints - 7*6mins[90s].

A new one for me, doing a session in terrain. The loop we did was pretty good, had some grassy (boggy) path sections, a few cut through between these through the woods, and then a bit of a gravel track as well, with varying hillyness throughout. Definitely felt like a more muscular session then threshy ints I've previously done, and you could really notice the change in running style/ aggression when needing to push through the forest. Very much appreciated having spender to run with, would have been a grim grim day without him. All in all very good fun, and time flew by, didn't feel like that long at all, will hopefully do this again!","Lac 6.2, hmm?"
"2021-01-19","9","Running","warm up/down","","00:06:32","","00:03:56","00:02:36","","","","1.299","","1.4","","132","141","","","","","","","","","Saucony Guide 13 TR #2","","",""
"2021-01-19","18","Running","","","00:23:02","","00:19:52","00:03:10","","","","4.071","74.6","1.14","","128","145","","","","","","","","","Saucony Ride iso2","","Proper plod. Just needed to move the muscles.",""
"2021-01-20","14","Running","","","00:10:50","","00:06:11","00:04:39","","","","1.965","34.7","1.43","","130","150","","","","","","","","","VJ iRock 3","","",""
"2021-01-20","14","Orienteering","","","00:53:59","","00:04:04","00:47:05","00:02:50","","","8.573","265.6","1.98","2","145","159","56","","","","","","","","VJ iRock 3","","56 controls on Aughertree fell. Good times.",""
"2021-01-20","14","Orienteering","","","00:06:10","","00:02:01","00:04:09","","","","1.036","8.4","1.67","","136","148","","","","","","","","","VJ iRock 3","","Trying to actually find the pit at 1; it was tiny.",""
"2021-01-20","17","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","",""
"2021-01-21","14","Running","","","01:30:14","","00:07:51","00:42:08","00:26:57","00:13:18","","18.956","713.1","2.51","","153","176","","","","","","","","","Saucony Ride iso2","","Big ooft round Whinlatter with Spender. Hills were a bit grindy but I enjoyed it nonetheless. Snowy at the highest point which got a bit slippy in road shoes, but mostly just nice gravel tracks. Good chat as always. Got back to a Uni email saying it'll all be online this semester, so looks like the Spud x Spender training camp will continue a wee while longer.",""
